                                                                                                                                                                                                                                                                



                        1                        2                        3                        4                        5                        6                        7
                        l                     n_pg                      n_p                      n_g                Re(omega)                Im(omega)                   E_norm
                        3                       -7                        0                        7  0.1001507200041261E+001  0.0000000000000000E+000  0.4004261807650983E-001
                        3                       -6                        0                        6  0.1115794261586617E+001  0.0000000000000000E+000  0.6127359592149265E-001
                        3                       -5                        0                        5  0.1259737062407815E+001  0.0000000000000000E+000  0.9153882987027843E-001
                        3                       -4                        0                        4  0.1446621860892831E+001  0.0000000000000000E+000  0.1271225766845763E+000
                        3                       -3                        0                        3  0.1699020485510823E+001  0.0000000000000000E+000  0.1470859488994854E+000
                        3                       -2                        0                        2  0.2058262427764107E+001  0.0000000000000000E+000  0.1086449950742127E+000
                        3                       -1                        0                        1  0.2601340428356965E+001  0.0000000000000000E+000  0.2164501384911042E-001
                        3                        0                        0                        0  0.3068190444949539E+001  0.0000000000000000E+000  0.1394925894332552E-002
                        3                        1                        1                        0  0.4294602243021564E+001  0.0000000000000000E+000  0.8048175104262577E-004
                        3                        2                        2                        0  0.5591066639579350E+001  0.0000000000000000E+000  0.1156668762749742E-004
                        3                        3                        3                        0  0.6878679869538726E+001  0.0000000000000000E+000  0.2602056691214228E-005
                        3                        4                        4                        0  0.8158826201054829E+001  0.0000000000000000E+000  0.7701993539576990E-006
                        3                        5                        5                        0  0.9433910812325800E+001  0.0000000000000000E+000  0.2748737311067020E-006
                        3                        6                        6                        0  0.1070534801882872E+002  0.0000000000000000E+000  0.1124253531076173E-006
                        3                        7                        7                        0  0.1197395590672116E+002  0.0000000000000000E+000  0.5102348006229952E-007
                        3                        8                        8                        0  0.1324023810017894E+002  0.0000000000000000E+000  0.2513821001031050E-007
                        3                        9                        9                        0  0.1450452913952339E+002  0.0000000000000000E+000  0.1323700461884627E-007
                        3                       10                       10                        0  0.1576706821999493E+002  0.0000000000000000E+000  0.7364533986733424E-008
