                                                                                                                                                                                                                                                                
                        1                        2                        3                        4
                        l                     n_pg                Re(omega)                Im(omega)
                        2                       10  0.1528490112864874E+002  0.0000000000000000E+000
                        1                        2                        3                        4                        5
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)
  0.2600000520080694E-001  0.6351751658118181E-001  0.0000000000000000E+000  0.3205799946855819E-001  0.0000000000000000E+000
  0.2700000540083797E-001  0.6588056591304499E-001  0.0000000000000000E+000  0.3327541910478689E-001  0.0000000000000000E+000
  0.2800000560086901E-001  0.6823454460444356E-001  0.0000000000000000E+000  0.3449106747621427E-001  0.0000000000000000E+000
  0.2900000580090005E-001  0.7057911275797196E-001  0.0000000000000000E+000  0.3570487760883644E-001  0.0000000000000000E+000
  0.3000000600093108E-001  0.7291393006464565E-001  0.0000000000000000E+000  0.3691678238278112E-001  0.0000000000000000E+000
  0.3100000620096212E-001  0.7523865579276012E-001  0.0000000000000000E+000  0.3812671452610578E-001  0.0000000000000000E+000
  0.3200000640099316E-001  0.7755294877709640E-001  0.0000000000000000E+000  0.3933460661143837E-001  0.0000000000000000E+000
  0.3300000660102419E-001  0.7985646740862080E-001  0.0000000000000000E+000  0.4054039105140323E-001  0.0000000000000000E+000
  0.3400000680105523E-001  0.8214886962418236E-001  0.0000000000000000E+000  0.4174400008966690E-001  0.0000000000000000E+000
  0.3500000700108627E-001  0.8442981289673729E-001  0.0000000000000000E+000  0.4294536580150977E-001  0.0000000000000000E+000
  0.3600000720111730E-001  0.8669895422640583E-001  0.0000000000000000E+000  0.4414442008914434E-001  0.0000000000000000E+000
  0.3700000740114834E-001  0.8895595013144082E-001  0.0000000000000000E+000  0.4534109467145861E-001  0.0000000000000000E+000
  0.3800000760117937E-001  0.9120045663970743E-001  0.0000000000000000E+000  0.4653532108559392E-001  0.0000000000000000E+000
  0.3900000780121041E-001  0.9343212928108606E-001  0.0000000000000000E+000  0.4772703068262441E-001  0.0000000000000000E+000
  0.4000000800124145E-001  0.9565062307987166E-001  0.0000000000000000E+000  0.4891615461732177E-001  0.0000000000000000E+000
  0.4100000820127249E-001  0.9785559254769817E-001  0.0000000000000000E+000  0.5010262384986397E-001  0.0000000000000000E+000
  0.4200000840130352E-001  0.1000466916774051E+000  0.0000000000000000E+000  0.5128636914197435E-001  0.0000000000000000E+000
  0.4300000860133456E-001  0.1022235739369571E+000  0.0000000000000000E+000  0.5246732104628991E-001  0.0000000000000000E+000
  0.4400000880136560E-001  0.1043858922639099E+000  0.0000000000000000E+000  0.5364540990857130E-001  0.0000000000000000E+000
  0.4500000900139663E-001  0.1065332990608580E+000  0.0000000000000000E+000  0.5482056586420402E-001  0.0000000000000000E+000
  0.4600000920142767E-001  0.1086654461910437E+000  0.0000000000000000E+000  0.5599271882808012E-001  0.0000000000000000E+000
  0.4700000940145871E-001  0.1107819849744870E+000  0.0000000000000000E+000  0.5716179849578017E-001  0.0000000000000000E+000
