                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals 
                                      59                  9.9999999973275033E-001                 -3.3106685717894857E-003                  4.0302179398286357E+000                 -6.3688214087502537E+000                  5.4945373937392086E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                      60                  9.9999999971712528E-001                 -3.3182901952943287E-003                  4.0342230793696077E+000                 -6.3547946963891579E+000                  5.5141555647008103E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                      61                  9.9999999970150044E-001                 -3.3256699730215295E-003                  4.0379471321978100E+000                 -6.3412670434457734E+000                  5.5329269521361022E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                      62                  9.9999999968587550E-001                 -3.3328237834716087E-003                  4.0414256961400703E+000                 -6.3282111505783645E+000                  5.5509216551361718E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                      63                  9.9999999967025055E-001                 -3.3397660723301268E-003                  4.0454999241589560E+000                 -6.3125554147079530E+000                  5.5724160227124315E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                      64                  9.9999999964681308E-001                 -3.3498113902154501E-003                  4.0492318362242798E+000                 -6.2974516913045715E+000                  5.5928984089420970E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                      65                  9.9999999963118813E-001                 -3.3562797396375649E-003                  4.0527556113568721E+000                 -6.2830065131968169E+000                  5.6124592864218465E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                      66                  9.9999999960775066E-001                 -3.3656653675895238E-003                  4.0566688012652543E+000                 -6.2663349349663200E+000                  5.6348274991124976E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                      67                  9.9999999958431318E-001                 -3.3746981049736237E-003                  4.0603075127896640E+000                 -6.2503700738896679E+000                  5.6561015820381355E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                      68                  9.9999999956087571E-001                 -3.3834053573577744E-003                  4.0637074960101929E+000                 -6.2350629402686240E+000                  5.6763836190958612E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                      69                  9.9999999953743823E-001                 -3.3918115564055785E-003                  4.0668978146278638E+000                 -6.2203743982868982E+000                  5.6957620409285461E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                      70                  9.9999999951400076E-001                 -3.3999386624642080E-003                  4.0704011611997304E+000                 -6.2039942530842911E+000                  5.7173303324222129E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                      71                  9.9999999948275076E-001                 -3.4103743811405877E-003                  4.0731917874721715E+000                 -6.1904691753150702E+000                  5.7350031106710144E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                      72                  9.9999999946712581E-001                 -3.4154325174670843E-003                  4.0758793839537697E+000                 -6.1775108702001233E+000                  5.7519855375504543E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                      73                  9.9999999943587581E-001                 -3.4252519080972079E-003                  4.0792323877174921E+000                 -6.1608753130890763E+000                  5.7736446015654241E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                      74                  9.9999999940462581E-001                 -3.4347029107612897E-003                  4.0823799701595442E+000                 -6.1449585689761808E+000                  5.7942763600665970E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                      75                  9.9999999937337580E-001                 -3.4438143920003271E-003                  4.0860843710811929E+000                 -6.1260221278166185E+000                  5.8187617733378705E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                      76                  9.9999999932650085E-001                 -3.4568994935667294E-003                  4.0894996885251649E+000                 -6.1079380959030596E+000                  5.8419427925879113E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                      77                  9.9999999929525074E-001                 -3.4652677308671569E-003                  4.0920924059278718E+000                 -6.0941279127429260E+000                  5.8596373504053183E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                      78                  9.9999999926400085E-001                 -3.4733745132770558E-003                  4.0951757881400503E+000                 -6.0776246727203302E+000                  5.8807890914357159E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                      79                  9.9999999921712590E-001                 -3.4850820696306043E-003                  4.0986300105840909E+000                 -6.0587611166870667E+000                  5.9048846915609481E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                      80                  9.9999999917025095E-001                 -3.4962928818556777E-003                  4.1018670920077316E+000                 -6.0408473975122927E+000                  5.9277156940999181E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                      81                  9.9999999912337600E-001                 -3.5070514955412870E-003                  4.1049130145300889E+000                 -6.0237698066778051E+000                  5.9494082682740341E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                      82                  9.9999999907650106E-001                 -3.5173960163450368E-003                  4.1082670364934133E+000                 -6.0048198107218766E+000                  5.9734207237071333E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                      83                  9.9999999901400105E-001                 -3.5306008958318862E-003                  4.1113932788927228E+000                 -5.9867559326351349E+000                  5.9961774831176013E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                      84                  9.9999999896712599E-001                 -3.5401018207521688E-003                  4.1139401655390646E+000                 -5.9719868302663404E+000                  6.0147786067472593E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                      85                  9.9999999892025127E-001                 -3.5492856713670185E-003                  4.1169729477637418E+000                 -5.9543906958344577E+000                  6.0369645733556423E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                      86                  9.9999999884993862E-001                 -3.5625154798066190E-003                  4.1200940476034518E+000                 -5.9359633539151773E+000                  6.0601301920900958E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                      87                  9.9999999879134482E-001                 -3.5730831843925814E-003                  4.1227841402922945E+000                 -5.9200223656783271E+000                  6.0801704590171815E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                      88                  9.9999999873275103E-001                 -3.5832707591576096E-003                  4.1257674023784228E+000                 -5.9022908100366305E+000                  6.1024407909475480E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                      89                  9.9999999865462608E-001                 -3.5963118173489802E-003                  4.1285709736992544E+000                 -5.8853302493889794E+000                  6.1236270880944383E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                      90                  9.9999999859603228E-001                 -3.6057187320860475E-003                  4.1308679818041707E+000                 -5.8714062669782967E+000                  6.1410003051599746E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                      91                  9.9999999853743848E-001                 -3.6148294164634943E-003                  4.1334348128702016E+000                 -5.8558325701196532E+000                  6.1604295091731025E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                      92                  9.9999999845931353E-001                 -3.6265499474698055E-003                  4.1362150599231349E+000                 -5.8388225041198378E+000                  6.1816217197025445E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                      93                  9.9999999838118858E-001                 -3.6378211877912099E-003                  4.1388565227802347E+000                 -5.8226056324205899E+000                  6.2018298022339797E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                      94                  9.9999999830306363E-001                 -3.6486801427924459E-003                  4.1413726599923999E+000                 -5.8071099368677741E+000                  6.2211411344540499E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                      95                  9.9999999822493857E-001                 -3.6591592514834625E-003                  4.1434755334090116E+000                 -5.7940760255770849E+000                  6.2373631957931917E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                      96                  9.9999999816634488E-001                 -3.6667866924811120E-003                  4.1452184635583436E+000                 -5.7832758765337697E+000                  6.2508022017147180E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                      97                  9.9999999810775109E-001                 -3.6742271785831751E-003                  4.1477478117748277E+000                 -5.7676838622747795E+000                  6.2702130457722287E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                      98                  9.9999999799056360E-001                 -3.6885844525486617E-003                  4.1503958971012507E+000                 -5.7510333855410112E+000                  6.2908122180916290E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                      99                  9.9999999791243865E-001                 -3.6977967002373791E-003                  4.1524329120368337E+000                 -5.7382605857066080E+000                  6.3066171024507982E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                     100                  9.9999999783431370E-001                 -3.7067425179328683E-003                  4.1548851019232149E+000                 -5.7229402030860026E+000                  6.3255987220185927E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                     101                  9.9999999771712611E-001                 -3.7196971108545344E-003                  4.1572132066056495E+000                 -5.7082301852945383E+000                  6.3437874667767860E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
                                     102                  9.9999999763900127E-001                 -3.7280464951301548E-003                  4.1594616473069488E+000                 -5.6941563775086683E+000                  6.3612462849073417E+000                  6.9999998680678144E-001                  2.8000001319321882E-001                  1.9999999999999796E-002 
