                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals 
                                      62                  9.9999999990149957E-001                 -4.8563184044723193E-002                  3.9476737626932135E+000                 -6.4382127479993994E+000                  5.3200234099291297E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                      63                  9.9999999989837463E-001                 -4.8565628705517783E-002                  3.9513741734877295E+000                 -6.4333843033894134E+000                  5.3290293100651427E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                      64                  9.9999999989524968E-001                 -4.8568046377938726E-002                  3.9548798260179998E+000                 -6.4285468541511834E+000                  5.3378524383948864E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                      65                  9.9999999989212474E-001                 -4.8570437309913915E-002                  3.9573782627006775E+000                 -6.4249026510409859E+000                  5.3443542497736400E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                      66                  9.9999999989056210E-001                 -4.8571622801254599E-002                  3.9590007939449547E+000                 -6.4224854315640680E+000                  5.3486353823245301E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                      67                  9.9999999988899968E-001                 -4.8572801722278916E-002                  3.9607810511164692E+000                 -6.4197715084107099E+000                  5.3534017958513456E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                      68                  9.9999999988704669E-001                 -4.8574266206739915E-002                  3.9627004460084558E+000                 -6.4167575961348513E+000                  5.3586372418818247E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                      69                  9.9999999988509347E-001                 -4.8575720577834443E-002                  3.9654924435816841E+000                 -6.4122689876848016E+000                  5.3663740446572099E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                      70                  9.9999999988118726E-001                 -4.8578599454906751E-002                  3.9690114816605893E+000                 -6.4062838422008674E+000                  5.3764802062932988E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                      71                  9.9999999987728116E-001                 -4.8581438985508221E-002                  3.9715123062191786E+000                 -6.4018023753325526E+000                  5.3839086199300947E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                      72                  9.9999999987532795E-001                 -4.8582844196239143E-002                  3.9731342886597814E+000                 -6.3988397128181997E+000                  5.3887912958816013E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                      73                  9.9999999987337485E-001                 -4.8584239867054423E-002                  3.9755026908258917E+000                 -6.3944329689479664E+000                  5.3960139919560461E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                      74                  9.9999999986946864E-001                 -4.8587003068114303E-002                  3.9785081044756394E+000                 -6.3885786893262591E+000                  5.4054613536563840E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                      75                  9.9999999986556243E-001                 -4.8589729322900656E-002                  3.9806574522839311E+000                 -6.3842085696641258E+000                  5.4124145796023937E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                      76                  9.9999999986360932E-001                 -4.8591078821505429E-002                  3.9820559377926532E+000                 -6.3813214136794869E+000                  5.4169890336775754E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                      77                  9.9999999986165622E-001                 -4.8592419390957806E-002                  3.9841042984366739E+000                 -6.3770297307859938E+000                  5.4237617040340727E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                      78                  9.9999999985775012E-001                 -4.8595074202056381E-002                  3.9867179157806785E+000                 -6.3713416782800252E+000                  5.4326309194780515E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                      79                  9.9999999985384380E-001                 -4.8597694516945844E-002                  3.9892211364887022E+000                 -6.3657139560689862E+000                  5.4413228334611006E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                      80                  9.9999999984993759E-001                 -4.8600281142555407E-002                  3.9916222484117738E+000                 -6.3601480350737329E+000                  5.4498443974332753E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                      81                  9.9999999984603138E-001                 -4.8602834874813004E-002                  3.9939286693745220E+000                 -6.3546449253273316E+000                  5.4582021618356880E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                      82                  9.9999999984212518E-001                 -4.8605356496121792E-002                  3.9955935222191901E+000                 -6.3505502132764029E+000                  5.4643667399341131E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                      83                  9.9999999984017207E-001                 -4.8606605491451807E-002                  3.9966818529195791E+000                 -6.3478463861483778E+000                  5.4684284229650375E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                      84                  9.9999999983821908E-001                 -4.8607846745625329E-002                  3.9982831446170115E+000                 -6.3438289714440073E+000                  5.4744506675815892E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                      85                  9.9999999983431276E-001                 -4.8610306427012889E-002                  4.0013691712851278E+000                 -6.3359161573604110E+000                  5.4862505393945140E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                      86                  9.9999999982650034E-001                 -4.8615137092576872E-002                  4.0042537278301253E+000                 -6.3280852554757958E+000                  5.4977387729414744E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                      87                  9.9999999982259402E-001                 -4.8617509323040910E-002                  4.0056478339347610E+000                 -6.3242303508358377E+000                  5.5033710255506474E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                      88                  9.9999999982064092E-001                 -4.8618684971014417E-002                  4.0065616838369253E+000                 -6.3216842724718090E+000                  5.5070857261133295E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                      89                  9.9999999981868781E-001                 -4.8619853756307459E-002                  4.0079098527135510E+000                 -6.3179002138056664E+000                  5.5125989318579398E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                      90                  9.9999999981478160E-001                 -4.8622171075745291E-002                  4.0096524651238532E+000                 -6.3128992032340392E+000                  5.5198428167810301E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                      91                  9.9999999981087540E-001                 -4.8624461900176441E-002                  4.0121848713014838E+000                 -6.3055319604777944E+000                  5.5304872361436743E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                      92                  9.9999999980306287E-001                 -4.8628966588547692E-002                  4.0145766089467942E+000                 -6.2982513475177067E+000                  5.5408774193898411E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                      93                  9.9999999979915666E-001                 -4.8631181540056322E-002                  4.0161250457955262E+000                 -6.2934825455414112E+000                  5.5476687672115714E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                      94                  9.9999999979525056E-001                 -4.8633372336513568E-002                  4.0183823602735762E+000                 -6.2864515907043659E+000                  5.5576609205817542E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                      95                  9.9999999978743792E-001                 -4.8637683662120998E-002                  4.0212382795683128E+000                 -6.2772389523084602E+000                  5.5706364373862103E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                      96                  9.9999999977962528E-001                 -4.8641904619665007E-002                  4.0232756137039427E+000                 -6.2704498254537873E+000                  5.5801202004603550E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                      97                  9.9999999977571918E-001                 -4.8643982408027517E-002                  4.0245998626765385E+000                 -6.2659976853736685E+000                  5.5863296921541563E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                      98                  9.9999999977181298E-001                 -4.8646039034259264E-002                  4.0265377038192369E+000                 -6.2594266723955405E+000                  5.5954807421969175E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                      99                  9.9999999976400045E-001                 -4.8650090605836922E-002                  4.0290060771945706E+000                 -6.2508145185691273E+000                  5.6073901474104932E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
                                     100                  9.9999999975618781E-001                 -4.8654062735324771E-002                  4.0313669524697442E+000                 -6.2423897920165183E+000                  5.6189820842311429E+000                  6.9999999513796962E-001                  2.8000000486203075E-001                  1.9999999999999574E-002 
